canonical_name,display_name,slug,longitude,latitude,site_type,country_code,short_description,source
Grutas de Loltún,Grutas de Loltún,grutas-de-loltún,-89.4557932,20.2535588,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Uaxactun,Uaxactun,uaxactun,-89.6294686,17.3912708,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Chacmultun,Chacmultun,chacmultun,-89.3450687,20.1726837,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Xet Pool,Xet Pool,xet-pool,-89.3390708,20.1695315,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Cabalpak,Cabalpak,cabalpak,-89.3448971,20.1704681,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Izapa (grupo F),Izapa (grupo F),izapa-grupo-f,-92.1799581,14.9233002,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Izapa (grupo A),Izapa (grupo A),izapa-grupo-a,-92.1843261,14.9135073,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Xoclan,Xoclan,xoclan,-89.6668705,20.9752601,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Altar de los Sacrificios,Altar de los Sacrificios,altar-de-los-sacrificios,-90.5295385,16.4794188,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Tumba del Caracol,Tumba del Caracol,tumba-del-caracol,-86.9792342,20.2801287,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Nocuchich,Nocuchich,nocuchich,-89.7670526,19.7242655,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Uxul,Uxul,uxul,-89.9838472,17.8579619,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
La Milpa,La Milpa,la-milpa,-89.0510906,17.83543,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Estela 26,Estela 26,estela-26,-87.7261547,20.4902491,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Estela 10,Estela 10,estela-10,-87.7322968,20.4903997,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Estela 9,Estela 9,estela-9,-87.7323215,20.4902825,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Estela 1,Estela 1,estela-1,-87.7244642,20.4859401,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Estela 11,Estela 11,estela-11,-87.731975,20.4899473,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Stela,Stela,stela,-87.73246,20.4906196,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Nadzcaan,Nadzcaan,nadzcaan,-89.850407,18.6065332,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Macoba,Macoba,macoba,-89.3559249,19.5610796,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Estuctura maya en la exhacienda Chichí Suárez,Estuctura maya en la exhacienda Chichí Suárez,estuctura-maya-en-la-exhacienda-chichí-suárez,-89.5311571,20.9895649,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Estuctura Maya - San Pedro Cholul,Estuctura Maya - San Pedro Cholul,estuctura-maya-san-pedro-cholul,-89.5582348,21.0287033,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Estuctura maya en la exhacienda San Pedro Cholul,Estuctura maya en la exhacienda San Pedro Cholul,estuctura-maya-en-la-exhacienda-san-pedro-cholul,-89.5566923,21.0295375,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Conjunto F,Conjunto F,conjunto-f,-89.6193574,17.2225128,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Conjunto H,Conjunto H,conjunto-h,-89.6217979,17.2292139,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Conjunto M,Conjunto M,conjunto-m,-89.6238912,17.2290978,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Conjunto O,Conjunto O,conjunto-o,-89.6233013,17.2251388,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Conjunto P,Conjunto P,conjunto-p,-89.6219842,17.2293163,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Conjunto Q,Conjunto Q,conjunto-q,-89.6192168,17.2252594,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Conjunto R,Conjunto R,conjunto-r,-89.6207314,17.2256376,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Aguateca,Aguateca,aguateca,-90.2035837,16.3970361,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Dos Pilas,Dos Pilas,dos-pilas,-90.2724041,16.4512633,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
El Tintal,El Tintal,el-tintal,-90.0008918,17.5917112,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Nakbé,Nakbé,nakbé,-89.831101,17.6820107,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Chunkunab,Chunkunab,chunkunab,-89.2160949,20.1518423,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
El Palmar,El Palmar,el-palmar,-89.3428241,18.0762558,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
El Resbalón,El Resbalón,el-resbalón,-88.7866521,18.7711743,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Kankí,Kankí,kankí,-90.1133818,19.9950617,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Nohpat,Nohpat,nohpat,-89.701615,20.3169633,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Mulchí,Mulchí,mulchí,-87.1238983,20.5792628,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Arroyo de Piedra,Arroyo de Piedra,arroyo-de-piedra,-90.2585949,16.4608117,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Tamarindito,Tamarindito,tamarindito,-90.2320772,16.4593451,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Balberta,Balberta,balberta,-90.9380534,14.1583471,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Bejucal,Bejucal,bejucal,-89.7699608,17.292036,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Chocolá,Chocolá,chocolá,-91.4271551,14.6173924,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
El Baúl,El Baúl,el-baúl,-91.0188593,14.3806449,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Chuntuntuqui,Chuntuntuqui,chuntuntuqui,-90.0993711,17.5366177,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
La Florida,La Florida,la-florida,-89.9990919,17.5201773,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
La Muralla,La Muralla,la-muralla,-89.7790863,17.7284179,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Paixban,Paixban,paixban,-90.1078157,17.7941011,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Porvenir,Porvenir,porvenir,-89.9899437,17.6566884,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Topoxté,Topoxté,topoxté,-89.4301734,17.0606912,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Waka',Waka',waka,-89.9053035,17.6208376,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Xulnal,Xulnal,xulnal,-90.0715744,17.5785509,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Holtún,Holtún,holtún,-89.3872613,16.9700682,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Pirámide de Caucel,Pirámide de Caucel,pirámide-de-caucel,-89.7052467,21.0171418,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Arqueológico de Granjas,Arqueológico de Granjas,arqueológico-de-granjas,-89.5911046,20.9372489,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Sabakalal,Sabakalal,sabakalal,-89.7751277,21.0867686,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Dsibiltún,Dsibiltún,dsibiltún,-89.883994,19.5470468,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Nabitunich,Nabitunich,nabitunich,-89.1346932,17.0989453,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Casco de la hacienda Xtul,Casco de la hacienda Xtul,casco-de-la-hacienda-xtul,-89.8275828,21.2526395,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
"Centro Arqueologico Kaminal Juyú "" 1st city of Nephi""","Centro Arqueologico Kaminal Juyú "" 1st city of Nephi""",centro-arqueologico-kaminal-juyú-1st-city-of-nephi,-90.5485357,14.6326366,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Ruinas sin Explorar,Ruinas sin Explorar,ruinas-sin-explorar,-87.980015,15.4978644,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
Baking Pot,Baking Pot,baking-pot,-88.9516766,17.2110581,archaeological_site,,Archaeological site recorded in OpenStreetMap.,OpenStreetMap
